id,lat,lng,unverified,description,season_start,season_stop,no_season,quality_rating,yield_rating,author,address,city,state,country,created_at,updated_at,access,import_link,muni,types
362663,37.7762577797003,-122.407035778593,false,[1x] Ginkgo (Ginkgo biloba). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:17:57 UTC,2016-12-03 11:48:40 UTC,Public,http://fallingfruit.org/imports/98,true,{ginkgo}
365471,37.7624955933372,-122.410305425584,false,[1x] Cherry plum (Prunus cerasifera). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:18:22 UTC,2016-12-03 07:42:49 UTC,Public,http://fallingfruit.org/imports/98,true,"{""Cherry plum""}"
365283,37.784746950776,-122.4313878,false,[1x] Yew podocarpus (Podocarpus macrophyllus). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:18:20 UTC,2016-12-02 21:57:10 UTC,Public,http://fallingfruit.org/imports/98,true,"{""Yew plum-pine""}"
363306,37.7673918,-122.421151740868,false,[1x] Autumn Gold ginkgo (Ginkgo biloba). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:18:03 UTC,2016-12-02 20:48:19 UTC,,http://fallingfruit.org/imports/98,true,{ginkgo}
367492,37.7605455961979,-122.388845670506,false,[1x] Cherry plum (Prunus cerasifera). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:18:39 UTC,2016-12-07 10:14:29 UTC,,http://fallingfruit.org/imports/98,true,"{""Cherry plum""}"
364983,37.7896000442366,-122.436535743515,false,[1x] Olive (Olea europaea). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:18:18 UTC,2016-12-08 06:18:49 UTC,Public,http://fallingfruit.org/imports/98,true,{Olive}
360350,37.7897126884331,-122.419169652571,true,[1x] Marina arbutus (Arbutus sp). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:17:37 UTC,2016-12-01 07:23:07 UTC,,http://fallingfruit.org/imports/98,true,"{""Strawberry tree""}"
362258,37.7897998658679,-122.42760658991,false,[1x] Ginkgo (Ginkgo biloba). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:17:54 UTC,2016-12-01 13:09:15 UTC,Public,http://fallingfruit.org/imports/98,true,{ginkgo}
366759,37.7670615888009,-122.446958927682,false,[1x] Cherry plum (Prunus cerasifera). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:18:33 UTC,2016-12-06 08:24:11 UTC,,http://fallingfruit.org/imports/98,true,"{""Cherry plum""}"
361409,37.7735975238751,-122.402684090681,false,[1x] Carob (Ceratonia siliqua). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:17:46 UTC,2016-12-01 08:59:15 UTC,Public,http://fallingfruit.org/imports/98,true,{Carob}
363714,37.7645398937114,-122.413477218204,false,[1x] Teatree (Leptospermum scoparium). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:18:06 UTC,2016-12-01 16:04:07 UTC,Public,http://fallingfruit.org/imports/98,true,{Teatree}
